Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,Graduation Rate,Graduation Rate Target,Dropout Rate,Dropout Rate Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
2244,Sherwood SD 88J,579,88.26%,77.00% or more,4.84%,8.40% or less,1.21%,1.60% or less,92.16%,95.00%,88.46%,95.00%,86.36%,95.00%,32.56%,26.93%,28.89%,15.73%,39.39%,27.53%,94.12%,95.00%,88.46%,95.00%,79.55%,95.00%,27.27%,20.10%,20.00%,9.75%,13.33%,6.12%,100.00%,100.00%,82.11%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,35.34%,23.11%,31.42%,26.00%,29.38%,27.55%,38.07%,16.18%,24.59%,17.00%,22.82%,17.76%,77.50,82.00%,7.50%,11.82%,40.74%,34% or more,74.07%,58% or more,88.89%,76% or more
2138,Silver Falls SD 4J,533,78.42%,77.00% or more,7.69%,8.40% or less,0.00%,1.60% or less,86.36%,95.00%,66.67%,95.00%,72.22%,95.00%,16.67%,26.93%,10.00%,15.73%,12.50%,27.53%,84.09%,95.00%,66.67%,95.00%,58.33%,95.00%,5.56%,20.10%,13.33%,9.75%,5.26%,6.12%,94.95%,100.00%,63.33%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,28.26%,23.11%,32.39%,26.00%,47.90%,27.55%,33.57%,16.18%,21.36%,17.00%,22.60%,17.76%,71.93,82.00%,7.02%,11.82%,46.67%,34% or more,93.33%,58% or more,93.33%,76% or more
1978,Sisters SD 6,150,78.00%,77.00% or more,5.33%,8.40% or less,0.00%,1.60% or less,69.23%,95.00%,68.75%,95.00%,<5%,95.00%,*,26.93%,9.09%,15.73%,*,27.53%,69.23%,95.00%,68.75%,95.00%,7.14%,95.00%,*,20.10%,9.09%,9.75%,*,6.12%,100.00%,100.00%,57.14%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,36.70%,26.00%,*,27.55%,*,16.18%,20.82%,17.00%,*,17.76%,*,82.00%,*,11.82%,14.29%,34% or more,42.86%,58% or more,71.43%,76% or more
2096,Siuslaw SD 97J,185,65.95%,77.00% or more,10.81%,8.40% or less,0.54%,1.60% or less,>95%,95.00%,92.86%,95.00%,90.00%,95.00%,5.26%,26.93%,8.33%,15.73%,*,27.53%,>95%,95.00%,92.86%,95.00%,60.00%,95.00%,15.79%,20.10%,8.33%,9.75%,*,6.12%,100.00%,100.00%,88.89%,86.22%,100.00%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,30.45%,23.11%,26.96%,26.00%,*,27.55%,19.56%,16.18%,15.48%,17.00%,*,17.76%,33.33,82.00%,50.00%,11.82%,*,34% or more,*,58% or more,*,76% or more
2022,South Harney SD 33,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2087,South Lane SD 45J3,520,63.65%,77.00% or more,10.96%,8.40% or less,3.65%,1.60% or less,82.35%,95.00%,59.46%,95.00%,47.37%,95.00%,10.71%,26.93%,13.64%,15.73%,5.56%,27.53%,82.35%,95.00%,62.16%,95.00%,47.37%,95.00%,14.29%,20.10%,<5%,9.75%,<5%,6.12%,97.70%,100.00%,69.44%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,28.18%,23.11%,29.22%,26.00%,27.23%,27.55%,18.67%,16.18%,18.10%,17.00%,23.77%,17.76%,58.93,82.00%,30.36%,11.82%,12.50%,34% or more,75.00%,58% or more,81.25%,76% or more
1994,South Umpqua SD 19,205,77.56%,77.00% or more,10.73%,8.40% or less,1.46%,1.60% or less,>95%,95.00%,88.89%,95.00%,94.74%,95.00%,<5%,26.93%,<5%,15.73%,<5%,27.53%,>95%,95.00%,83.33%,95.00%,89.47%,95.00%,<5%,20.10%,<5%,9.75%,<5%,6.12%,95.24%,100.00%,85.71%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,32.14%,23.11%,17.82%,26.00%,40.22%,27.55%,26.13%,16.18%,9.28%,17.00%,7.95%,17.76%,50.00,82.00%,42.86%,11.82%,*,34% or more,*,58% or more,*,76% or more
2225,South Wasco County SD 1,46,97.83%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2247,Spray SD 1,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2083,Springfield SD 19,1567,70.58%,77.00% or more,9.96%,8.40% or less,1.91%,1.60% or less,82.03%,95.00%,77.34%,95.00%,65.63%,95.00%,21.00%,26.93%,11.58%,15.73%,<5%,27.53%,81.25%,95.00%,77.17%,95.00%,64.58%,95.00%,16.16%,20.10%,6.38%,9.75%,<5%,6.12%,96.64%,100.00%,71.17%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,14.49%,23.11%,19.88%,26.00%,20.55%,27.55%,11.17%,16.18%,13.82%,17.00%,6.76%,17.76%,>95,82.00%,<5%,11.82%,13.79%,34% or more,65.52%,58% or more,67.24%,76% or more
1948,St Helens SD 502,514,72.18%,77.00% or more,15.95%,8.40% or less,0.58%,1.60% or less,75.68%,95.00%,88.37%,95.00%,82.05%,95.00%,7.69%,26.93%,11.11%,15.73%,<5%,27.53%,75.68%,95.00%,83.72%,95.00%,82.05%,95.00%,<5%,20.10%,5.88%,9.75%,<5%,6.12%,96.63%,100.00%,73.08%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,27.92%,23.11%,12.78%,26.00%,29.23%,27.55%,19.80%,16.18%,11.56%,17.00%,8.00%,17.76%,76.47,82.00%,11.76%,11.82%,10.00%,34% or more,76.67%,58% or more,83.33%,76% or more
2144,St Paul SD 45,25,68.00%,77.00% or more,8.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2209,Stanfield SD 61,69,84.06%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,66.67,82.00%,16.67%,11.82%,*,34% or more,*,58% or more,*,76% or more
2018,Suntex SD 10,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2003,Sutherlin SD 130,235,76.60%,77.00% or more,7.23%,8.40% or less,0.43%,1.60% or less,>95%,95.00%,84.21%,95.00%,72.73%,95.00%,9.68%,26.93%,6.25%,15.73%,*,27.53%,93.75%,95.00%,78.95%,95.00%,81.82%,95.00%,6.67%,20.10%,6.67%,9.75%,*,6.12%,100.00%,100.00%,80.00%,86.22%,90.91%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,16.53%,23.11%,25.97%,26.00%,*,27.55%,11.96%,16.18%,10.57%,17.00%,*,17.76%,<5,82.00%,>95%,11.82%,*,34% or more,*,58% or more,*,76% or more
2102,Sweet Home SD 55,435,79.54%,77.00% or more,9.66%,8.40% or less,0.23%,1.60% or less,>95%,95.00%,>95%,95.00%,81.82%,95.00%,<5%,26.93%,10.53%,15.73%,<5%,27.53%,92.86%,95.00%,>95%,95.00%,84.85%,95.00%,6.06%,20.10%,5.26%,9.75%,<5%,6.12%,100.00%,100.00%,74.42%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,30.75%,23.11%,12.00%,26.00%,24.83%,27.55%,20.97%,16.18%,16.41%,17.00%,12.08%,17.76%,81.82,82.00%,9.09%,11.82%,5.00%,34% or more,50.00%,58% or more,65.00%,76% or more
2055,Three Rivers/Josephine County SD,644,76.40%,77.00% or more,5.12%,8.40% or less,0.16%,1.60% or less,>95%,95.00%,75.61%,95.00%,91.18%,95.00%,11.94%,26.93%,10.71%,15.73%,16.67%,27.53%,>95%,95.00%,75.61%,95.00%,91.18%,95.00%,16.42%,20.10%,7.14%,9.75%,<5%,6.12%,100.00%,100.00%,62.50%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,23.56%,23.11%,36.93%,26.00%,32.22%,27.55%,17.31%,16.18%,17.35%,17.00%,14.24%,17.76%,55.00,82.00%,36.67%,11.82%,14.29%,34% or more,42.86%,58% or more,47.62%,76% or more
2242,Tigard-Tualatin SD 23J,1364,76.47%,77.00% or more,5.65%,8.40% or less,1.32%,1.60% or less,90.60%,95.00%,82.69%,95.00%,48.61%,95.00%,19.79%,26.93%,14.29%,15.73%,12.50%,27.53%,88.89%,95.00%,81.73%,95.00%,41.67%,95.00%,21.28%,20.10%,12.99%,9.75%,7.41%,6.12%,100.00%,100.00%,78.16%,86.22%,73.33%,100.00%,40.00%,70.30%,*,61.42%,*,63.65%,30.00%,50.89%,*,47.37%,*,47.79%,30.04%,23.11%,25.84%,26.00%,22.16%,27.55%,20.76%,16.18%,15.66%,17.00%,18.23%,17.76%,70.80,82.00%,16.81%,11.82%,26.74%,34% or more,63.95%,58% or more,70.93%,76% or more
2197,Tillamook SD 9,320,65.94%,77.00% or more,9.38%,8.40% or less,0.00%,1.60% or less,87.10%,95.00%,86.96%,95.00%,75.00%,95.00%,13.04%,26.93%,11.76%,15.73%,17.65%,27.53%,87.10%,95.00%,86.96%,95.00%,69.57%,95.00%,30.43%,20.10%,5.88%,9.75%,6.67%,6.12%,100.00%,100.00%,46.15%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,24.10%,23.11%,29.97%,26.00%,38.84%,27.55%,15.34%,16.18%,14.26%,17.00%,18.83%,17.76%,90.48,82.00%,9.52%,11.82%,4.76%,34% or more,76.19%,58% or more,85.71%,76% or more
2222,Troy SD 54,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2210,Ukiah SD 80R,6,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2204,Umatilla SD 6R,146,87.67%,77.00% or more,8.90%,8.40% or less,0.00%,1.60% or less,>95%,95.00%,81.25%,95.00%,*,95.00%,<5%,26.93%,<5%,15.73%,*,27.53%,>95%,95.00%,81.25%,95.00%,*,95.00%,<5%,20.10%,<5%,9.75%,*,6.12%,100.00%,100.00%,83.33%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,14.81%,23.11%,6.90%,26.00%,*,27.55%,9.09%,16.18%,<5%,17.00%,*,17.76%,>95,82.00%,<5%,11.82%,0.00%,34% or more,50.00%,58% or more,60.00%,76% or more
2213,Union SD 5,56,91.07%,77.00% or more,7.14%,8.40% or less,0.00%,1.60% or less,90.91%,95.00%,*,95.00%,*,95.00%,<5%,26.93%,*,15.73%,*,27.53%,90.91%,95.00%,*,95.00%,*,95.00%,<5%,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,31.43%,23.11%,*,26.00%,*,27.55%,17.65%,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2116,Vale SD 84,134,80.60%,77.00% or more,7.46%,8.40% or less,0.00%,1.60% or less,81.82%,95.00%,>95%,95.00%,*,95.00%,*,26.93%,25.00%,15.73%,*,27.53%,81.82%,95.00%,>95%,95.00%,*,95.00%,*,20.10%,25.00%,9.75%,*,6.12%,100.00%,100.00%,86.67%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,41.23%,26.00%,*,27.55%,*,16.18%,31.41%,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1947,Vernonia SD 47J,87,73.56%,77.00% or more,4.60%,8.40% or less,2.30%,1.60% or less,90.00%,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,>95%,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,75.00,82.00%,12.50%,11.82%,*,34% or more,*,58% or more,*,76% or more
2220,Wallowa SD 12,34,94.12%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,>95%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1936,Warrenton-Hammond SD 30,151,81.46%,77.00% or more,10.60%,8.40% or less,0.66%,1.60% or less,>95%,95.00%,>95%,95.00%,16.67%,95.00%,25.00%,26.93%,23.08%,15.73%,*,27.53%,>95%,95.00%,>95%,95.00%,16.67%,95.00%,33.33%,20.10%,30.77%,9.75%,*,6.12%,100.00%,100.00%,80.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,9.43%,23.11%,19.57%,26.00%,*,27.55%,10.74%,16.18%,<5%,17.00%,*,17.76%,66.67,82.00%,16.67%,11.82%,*,34% or more,*,58% or more,*,76% or more
1922,West Linn-Wilsonville SD 3J,1170,95.38%,77.00% or more,0.85%,8.40% or less,0.09%,1.60% or less,>95%,95.00%,79.31%,95.00%,72.12%,95.00%,33.94%,26.93%,20.45%,15.73%,26.76%,27.53%,94.31%,95.00%,75.00%,95.00%,65.38%,95.00%,37.96%,20.10%,13.25%,9.75%,12.50%,6.12%,100.00%,100.00%,77.36%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,28.46%,23.11%,34.44%,26.00%,35.01%,27.55%,23.75%,16.18%,28.02%,17.00%,26.45%,17.76%,84.00,82.00%,<5%,11.82%,45.33%,34% or more,70.67%,58% or more,78.67%,76% or more
2255,Willamina SD 30J,157,94.90%,77.00% or more,3.18%,8.40% or less,0.00%,1.60% or less,>95%,95.00%,64.29%,95.00%,54.55%,95.00%,9.09%,26.93%,*,15.73%,*,27.53%,>95%,95.00%,64.29%,95.00%,63.64%,95.00%,<5%,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,87.50%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,10.21%,23.11%,*,26.00%,*,27.55%,15.79%,16.18%,*,17.00%,*,17.76%,>95,82.00%,<5%,11.82%,*,34% or more,*,58% or more,*,76% or more
2002,Winston-Dillard SD 116,217,65.44%,77.00% or more,9.68%,8.40% or less,1.84%,1.60% or less,>95%,95.00%,72.73%,95.00%,90.00%,95.00%,5.26%,26.93%,*,15.73%,*,27.53%,90.48%,95.00%,72.73%,95.00%,90.00%,95.00%,5.56%,20.10%,*,9.75%,*,6.12%,92.00%,100.00%,68.57%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,24.44%,23.11%,*,26.00%,*,27.55%,21.71%,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2146,Woodburn SD 103,767,85.01%,77.00% or more,7.43%,8.40% or less,1.43%,1.60% or less,>95%,95.00%,92.54%,95.00%,94.83%,95.00%,<5%,26.93%,8.47%,15.73%,<5%,27.53%,>95%,95.00%,94.03%,95.00%,86.21%,95.00%,<5%,20.10%,<5%,9.75%,<5%,6.12%,100.00%,100.00%,87.10%,86.22%,64.29%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,13.36%,23.11%,9.95%,26.00%,24.61%,27.55%,6.03%,16.18%,8.08%,17.00%,6.30%,17.76%,85.19,82.00%,7.41%,11.82%,22.03%,34% or more,66.10%,58% or more,71.19%,76% or more
2251,Yamhill Carlton SD 1,154,75.97%,77.00% or more,7.79%,8.40% or less,1.30%,1.60% or less,82.35%,95.00%,72.00%,95.00%,35.71%,95.00%,14.29%,26.93%,12.50%,15.73%,*,27.53%,82.35%,95.00%,68.00%,95.00%,35.71%,95.00%,28.57%,20.10%,<5%,9.75%,*,6.12%,100.00%,100.00%,85.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,25.24%,23.11%,12.95%,26.00%,*,27.55%,10.96%,16.18%,21.57%,17.00%,*,17.76%,63.16,82.00%,36.84%,11.82%,7.69%,34% or more,53.85%,58% or more,53.85%,76% or more
1997,Yoncalla SD 32,50,94.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
